model-1608851053,1608851154.793,0.57,0.2402,0.51,0.2564
model-1608851053,1608851155.421,0.53,0.2457,0.51,0.2562
model-1608851053,1608851156.056,0.6,0.2393,0.51,0.2565
model-1608851053,1608851156.698,0.53,0.252,0.5,0.2566
model-1608851053,1608851157.35,0.57,0.2422,0.5,0.2571
model-1608851053,1608851157.965,0.54,0.2457,0.49,0.2573
model-1608851053,1608851158.595,0.52,0.2521,0.5,0.2569
model-1608851053,1608851159.226,0.54,0.2531,0.5,0.2563
model-1608851053,1608851159.9,0.54,0.2467,0.5,0.2556
model-1608851053,1608851160.824,0.47,0.2528,0.49,0.2548
model-1608851053,1608851161.648,0.55,0.2394,0.52,0.2543
model-1608851053,1608851162.289,0.6,0.2434,0.52,0.2545
model-1608851053,1608851162.927,0.64,0.2402,0.52,0.2551
model-1608851053,1608851163.573,0.56,0.2421,0.53,0.256
model-1608851053,1608851164.201,0.54,0.238,0.54,0.2575
model-1608851053,1608851164.846,0.56,0.2436,0.52,0.2585
model-1608851053,1608851165.486,0.56,0.2448,0.52,0.2594
model-1608851053,1608851166.186,0.57,0.2432,0.51,0.2602
model-1608851053,1608851166.977,0.61,0.245,0.53,0.2607
model-1608851053,1608851167.628,0.56,0.2517,0.52,0.2603
model-1608851053,1608851168.291,0.59,0.2429,0.53,0.26
model-1608851053,1608851168.943,0.59,0.2429,0.53,0.2596
model-1608851053,1608851169.685,0.61,0.2438,0.52,0.259
model-1608851053,1608851170.345,0.57,0.2439,0.53,0.2585
model-1608851053,1608851171.054,0.5,0.2498,0.53,0.2578
model-1608851053,1608851171.68,0.56,0.2454,0.5,0.2575
model-1608851053,1608851172.393,0.5,0.2555,0.51,0.2565
model-1608851053,1608851173.072,0.58,0.2351,0.53,0.2563
model-1608851053,1608851173.713,0.58,0.2318,0.54,0.2564
model-1608851053,1608851174.371,0.55,0.253,0.52,0.2557
model-1608851053,1608851175.026,0.51,0.2453,0.51,0.2557
model-1608851053,1608851175.689,0.59,0.2387,0.53,0.2562
model-1608851053,1608851176.332,0.51,0.2513,0.53,0.2567
model-1608851053,1608851176.952,0.56,0.2451,0.55,0.2568
model-1608851053,1608851177.6,0.51,0.2464,0.55,0.2571
model-1608851053,1608851178.328,0.53,0.2454,0.54,0.2575
model-1608851053,1608851178.973,0.6,0.247,0.54,0.2571
model-1608851053,1608851179.616,0.59,0.2372,0.53,0.2574
model-1608851053,1608851180.29,0.56,0.2526,0.53,0.2575
model-1608851053,1608851180.925,0.48,0.2561,0.52,0.2565
model-1608851053,1608851181.652,0.57,0.2355,0.53,0.2565
model-1608851053,1608851182.287,0.53,0.2538,0.54,0.2552
model-1608851053,1608851182.943,0.54,0.2457,0.53,0.2541
model-1608851053,1608851183.605,0.49,0.2455,0.53,0.2536
model-1608851053,1608851184.278,0.57,0.2458,0.54,0.2529
model-1608851053,1608851184.98,0.52,0.2454,0.53,0.2524
model-1608851053,1608851185.651,0.61,0.2469,0.5,0.252
model-1608851053,1608851186.267,0.54,0.2434,0.5,0.2518
model-1608851053,1608851186.941,0.52,0.2447,0.52,0.2519
model-1608851053,1608851187.578,0.5,0.2504,0.55,0.2519
model-1608851053,1608851188.198,0.54,0.2456,0.56,0.2521
model-1608851053,1608851188.84,0.6,0.2412,0.55,0.2529
model-1608851053,1608851189.474,0.5,0.2425,0.46,0.2545
model-1608851053,1608851190.143,0.67,0.2361,0.5,0.2561
model-1608851053,1608851190.902,0.59,0.2418,0.46,0.2589
model-1608851053,1608851191.581,0.5,0.2491,0.47,0.2604
model-1608851053,1608851192.342,0.63,0.232,0.49,0.2626
model-1608851053,1608851192.986,0.52,0.2622,0.49,0.2614
model-1608851053,1608851193.637,0.56,0.2447,0.49,0.2597
model-1608851053,1608851194.285,0.54,0.2485,0.5,0.2563
model-1608851053,1608851195.189,0.53,0.2503,0.51,0.2531
model-1608851053,1608851195.812,0.56,0.2474,0.54,0.2512
model-1608851053,1608851196.498,0.53,0.245,0.51,0.2505
model-1608851053,1608851197.156,0.48,0.2496,0.51,0.2505
model-1608851053,1608851197.774,0.58,0.2413,0.53,0.2501
model-1608851053,1608851198.442,0.52,0.2487,0.52,0.2487
model-1608851053,1608851199.179,0.52,0.2462,0.54,0.2471
model-1608851053,1608851199.801,0.56,0.2411,0.53,0.2457
model-1608851053,1608851200.457,0.5,0.2511,0.57,0.2452
model-1608851053,1608851201.103,0.57,0.2404,0.55,0.2451
model-1608851053,1608851201.763,0.68,0.2354,0.56,0.245
model-1608851053,1608851202.611,0.53,0.2424,0.6,0.2451
model-1608851053,1608851203.279,0.59,0.2363,0.56,0.2454
model-1608851053,1608851203.896,0.59,0.2441,0.55,0.2457
model-1608851053,1608851204.56,0.62,0.2389,0.56,0.2465
model-1608851053,1608851205.194,0.6,0.2363,0.56,0.2473
model-1608851053,1608851205.846,0.53,0.2592,0.54,0.2468
model-1608851053,1608851206.523,0.56,0.2315,0.55,0.2461
model-1608851053,1608851207.158,0.57,0.2363,0.54,0.2474
model-1608851053,1608851207.789,0.63,0.2391,0.53,0.2497
model-1608851053,1608851208.491,0.67,0.2339,0.52,0.2523
model-1608851053,1608851209.167,0.46,0.2573,0.48,0.2554
model-1608851053,1608851209.824,0.59,0.245,0.5,0.2593
model-1608851053,1608851210.462,0.55,0.2436,0.52,0.2615
model-1608851053,1608851211.132,0.61,0.2418,0.53,0.2627
model-1608851053,1608851211.775,0.59,0.2415,0.52,0.263
model-1608851053,1608851212.428,0.46,0.2744,0.53,0.2612
model-1608851053,1608851213.19,0.52,0.2529,0.53,0.2596
model-1608851053,1608851213.823,0.57,0.249,0.54,0.258
model-1608851053,1608851214.51,0.51,0.2532,0.53,0.2568
model-1608851053,1608851215.196,0.62,0.2472,0.52,0.2559
model-1608851053,1608851215.857,0.55,0.2414,0.54,0.2549
model-1608851053,1608851216.489,0.53,0.2515,0.54,0.2529
model-1608851053,1608851217.141,0.58,0.2397,0.54,0.2515
model-1608851053,1608851217.755,0.54,0.245,0.54,0.2504
model-1608851053,1608851218.402,0.61,0.2395,0.55,0.2498
model-1608851053,1608851219.064,0.59,0.2403,0.51,0.2492
model-1608851053,1608851219.686,0.64,0.2368,0.51,0.2488
model-1608851053,1608851220.361,0.52,0.2444,0.51,0.2485
model-1608851053,1608851221.081,0.58,0.2485,0.54,0.248
model-1608851053,1608851221.716,0.44,0.2525,0.55,0.2479
model-1608851053,1608851222.443,0.53,0.2435,0.55,0.2481
model-1608851053,1608851223.131,0.59,0.2434,0.54,0.2483
model-1608851053,1608851223.859,0.59,0.2443,0.53,0.2486
model-1608851053,1608851224.504,0.58,0.2457,0.53,0.2488
model-1608851053,1608851225.164,0.5,0.2522,0.53,0.2488
model-1608851053,1608851225.789,0.47,0.2487,0.52,0.2493
model-1608851053,1608851226.545,0.57,0.2433,0.52,0.25
model-1608851053,1608851227.349,0.57,0.2432,0.51,0.2507
model-1608851053,1608851227.977,0.65,0.2401,0.52,0.2505
model-1608851053,1608851228.738,0.54,0.2467,0.52,0.2501
model-1608851053,1608851229.421,0.53,0.245,0.52,0.2496
model-1608851053,1608851230.069,0.57,0.2425,0.52,0.2488
model-1608851053,1608851230.73,0.59,0.248,0.54,0.2481
model-1608851053,1608851231.369,0.65,0.2346,0.54,0.2478
model-1608851053,1608851232.037,0.63,0.2357,0.54,0.2473
model-1608851053,1608851232.727,0.49,0.2567,0.54,0.247
model-1608851053,1608851233.402,0.59,0.2351,0.54,0.2469
model-1608851053,1608851234.145,0.59,0.242,0.53,0.2465
model-1608851053,1608851234.864,0.63,0.2362,0.54,0.2462
model-1608851053,1608851235.557,0.64,0.2356,0.55,0.2463
model-1608851053,1608851236.236,0.6,0.2368,0.55,0.2465
model-1608851053,1608851236.891,0.58,0.241,0.56,0.2465
model-1608851053,1608851237.532,0.57,0.243,0.56,0.2461
model-1608851053,1608851238.194,0.57,0.2432,0.55,0.2455
model-1608851053,1608851238.872,0.6,0.2448,0.54,0.245
model-1608851053,1608851239.552,0.64,0.2336,0.52,0.2445
model-1608851053,1608851240.25,0.57,0.2449,0.54,0.2442
model-1608851053,1608851240.894,0.61,0.2321,0.57,0.2455
model-1608851053,1608851241.361,0.56,0.2506,0.56,0.2489
model-1608851053,1608851242.047,0.51,0.2495,0.56,0.2518
model-1608851053,1608851242.677,0.56,0.2448,0.53,0.2522
model-1608851053,1608851243.333,0.58,0.2389,0.55,0.2506
model-1608851053,1608851243.962,0.51,0.2412,0.56,0.2492
model-1608851053,1608851244.703,0.51,0.2576,0.53,0.2468
model-1608851053,1608851245.395,0.58,0.2424,0.54,0.245
model-1608851053,1608851246.053,0.66,0.2306,0.55,0.2454
model-1608851053,1608851246.717,0.58,0.235,0.53,0.2483
model-1608851053,1608851247.379,0.67,0.2343,0.55,0.2506
model-1608851053,1608851247.989,0.52,0.2503,0.53,0.2487
model-1608851053,1608851248.637,0.63,0.2343,0.54,0.2463
model-1608851053,1608851249.27,0.55,0.2472,0.54,0.2446
model-1608851053,1608851249.914,0.64,0.2334,0.55,0.2436
model-1608851053,1608851250.591,0.52,0.2485,0.55,0.2435
model-1608851053,1608851251.337,0.59,0.2477,0.56,0.2434
model-1608851053,1608851252.011,0.55,0.2555,0.58,0.2431
model-1608851053,1608851252.656,0.63,0.2292,0.58,0.2433
model-1608851053,1608851253.28,0.6,0.2333,0.59,0.2434
model-1608851053,1608851253.912,0.63,0.2402,0.58,0.2434
model-1608851053,1608851254.58,0.66,0.2289,0.6,0.2432
model-1608851053,1608851255.269,0.57,0.2459,0.59,0.2433
model-1608851053,1608851255.896,0.58,0.2407,0.59,0.2428
model-1608851053,1608851256.58,0.58,0.2386,0.62,0.2425
model-1608851053,1608851257.249,0.59,0.2375,0.59,0.2429
model-1608851053,1608851257.881,0.64,0.2423,0.58,0.2433
model-1608851053,1608851258.523,0.53,0.2443,0.58,0.243
model-1608851053,1608851259.239,0.62,0.2238,0.58,0.242
model-1608851053,1608851259.893,0.57,0.2458,0.57,0.2418
model-1608851053,1608851260.539,0.67,0.2264,0.56,0.241
model-1608851053,1608851261.192,0.68,0.2242,0.57,0.2407
model-1608851053,1608851261.834,0.61,0.2352,0.58,0.2405
model-1608851053,1608851262.627,0.57,0.2576,0.58,0.2398
model-1608851053,1608851263.594,0.69,0.2158,0.59,0.2394
model-1608851053,1608851264.634,0.66,0.2185,0.57,0.2412
model-1608851053,1608851267.129,0.66,0.2189,0.55,0.2427
model-1608851053,1608851268.246,0.59,0.2329,0.55,0.2447
model-1608851053,1608851269.067,0.65,0.228,0.56,0.2458
model-1608851053,1608851269.798,0.61,0.2442,0.55,0.2443
model-1608851053,1608851270.434,0.61,0.2281,0.56,0.2428
model-1608851053,1608851271.157,0.63,0.2288,0.57,0.2437
model-1608851053,1608851271.815,0.6,0.2265,0.57,0.2441
model-1608851053,1608851272.448,0.55,0.2466,0.59,0.243
model-1608851053,1608851273.081,0.65,0.22,0.58,0.2432
model-1608851053,1608851273.726,0.58,0.2471,0.59,0.2427
model-1608851053,1608851274.385,0.59,0.2423,0.61,0.2406
model-1608851053,1608851275.033,0.66,0.2226,0.61,0.2402
model-1608851053,1608851275.73,0.6,0.2508,0.62,0.239
model-1608851053,1608851276.471,0.55,0.2464,0.63,0.2376
model-1608851053,1608851277.11,0.57,0.2308,0.64,0.2368
model-1608851053,1608851277.738,0.65,0.217,0.61,0.2366
model-1608851053,1608851278.412,0.54,0.2366,0.64,0.2378
model-1608851053,1608851279.262,0.65,0.2212,0.65,0.2374
model-1608851053,1608851279.898,0.69,0.2146,0.62,0.2363
model-1608851053,1608851280.837,0.61,0.2408,0.65,0.2353
model-1608851053,1608851571.887,0.57,0.2381,0.64,0.2329
model-1608851053,1608851573.429,0.58,0.2403,0.61,0.2314
model-1608851053,1608851574.179,0.69,0.2144,0.6,0.2349
model-1608851053,1608851575.849,0.59,0.2314,0.57,0.2322
model-1608851053,1608851577.051,0.57,0.2427,0.61,0.2321
model-1608851053,1608851577.881,0.64,0.2212,0.59,0.2471
model-1608851053,1608851578.749,0.53,0.2519,0.58,0.242
model-1608851053,1608851580.014,0.51,0.2598,0.62,0.2295
model-1608851053,1608851580.72,0.58,0.2328,0.61,0.225
model-1608851053,1608851581.453,0.51,0.2609,0.52,0.2421
model-1608851053,1608851582.195,0.61,0.2312,0.52,0.2419
model-1608851053,1608851582.908,0.61,0.2404,0.55,0.2403
model-1608851053,1608851583.58,0.62,0.2263,0.58,0.2376
model-1608851053,1608851584.193,0.64,0.2275,0.61,0.2358
model-1608851053,1608851584.858,0.53,0.244,0.59,0.2353
model-1608851053,1608851585.5,0.63,0.2331,0.59,0.2363
model-1608851053,1608851586.193,0.67,0.2336,0.62,0.2374
model-1608851053,1608851586.84,0.53,0.2412,0.62,0.2383
model-1608851053,1608851587.51,0.56,0.2383,0.62,0.2389
model-1608851053,1608851588.172,0.59,0.2345,0.63,0.2399
model-1608851053,1608851588.828,0.64,0.2307,0.63,0.2403
model-1608851053,1608851589.433,0.73,0.2103,0.62,0.2401
model-1608851053,1608851590.089,0.63,0.2287,0.63,0.2405
model-1608851053,1608851590.748,0.54,0.2458,0.62,0.2405
model-1608851053,1608851591.372,0.51,0.269,0.61,0.2405
model-1608851053,1608851592.016,0.61,0.2433,0.62,0.239
model-1608851053,1608851592.753,0.59,0.2253,0.61,0.2378
model-1608851053,1608851593.363,0.62,0.2305,0.59,0.237
model-1608851053,1608851594.046,0.63,0.2302,0.59,0.2369
model-1608851053,1608851594.688,0.59,0.2346,0.56,0.2365
model-1608851053,1608851595.33,0.67,0.2194,0.56,0.2376
model-1608851053,1608851595.991,0.64,0.2312,0.61,0.2412
model-1608851053,1608851596.683,0.58,0.2428,0.58,0.2412
model-1608851053,1608851597.289,0.66,0.2304,0.61,0.2384
model-1608851053,1608851597.912,0.59,0.2368,0.6,0.2328
model-1608851053,1608851598.558,0.63,0.2245,0.65,0.2325
model-1608851053,1608851599.199,0.67,0.2251,0.62,0.2353
model-1608851053,1608851599.838,0.62,0.2277,0.61,0.2369
model-1608851053,1608851600.618,0.6,0.226,0.62,0.2344
model-1608851053,1608851601.24,0.67,0.2168,0.63,0.2301
model-1608851053,1608851601.877,0.59,0.2271,0.66,0.2284
model-1608851053,1608851602.515,0.65,0.2277,0.62,0.2301
model-1608851053,1608851603.13,0.61,0.226,0.6,0.2317
model-1608851053,1608851603.915,0.73,0.1983,0.62,0.2273
model-1608851053,1608851604.553,0.59,0.2206,0.67,0.2215
